check_id,perturbation_name,category,status,severity,baseline_step_id,affected_step_id,baseline_status,perturbed_status,status_transition,conservative_transition,artifact,message,evidence_file
E5.1,Lower predicate confidence below threshold,confidence,PASS,critical,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,accepted,uncertain,accepted->uncertain,True,predicates.jsonl,Accepted step degraded after its predicate confidence fell below tau_unc.,confidence_degradation_results.csv
E5.2,Remove a required support predicate,missing_evidence,PASS,critical,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,accepted,rejected,accepted->rejected,True,inferred_constraints.csv,Required produced-effect support was removed and the requirement became missing.,missing_support_predicate_results.csv
E5.3,Replace an object type with an incompatible type,semantic_corruption,PASS,critical,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,accepted,uncertain,accepted->uncertain,True,predicates.jsonl,Corrupted object evidence produced a conservative decision with inspectable input evidence.,incompatible_object_type_results.csv
E5.4,Inject an explicit error action or incompatibility,contradictory_evidence,PASS,critical,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,accepted,rejected,accepted->rejected,True,predicates.jsonl,Injected hard incompatibility rejected the step and its effects no longer support later dependencies.,injected_error_action_results.csv
E5.5,Remove a produced effect used by later steps,dependency_lifecycle,PASS,critical,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_10,accepted,rejected,accepted->rejected,True,inferred_constraints.csv,Removed produced effect downgraded 7 later dependencies.,removed_produced_effect_results.csv
